20180831-20180916-cccc-1-rapid-rumble-15+5-stage-1.pgn: CCCC 1: Rapid Rumble (15|5) Stage 1
20220306-20220314-ccc-17-rapid-semifinals-15-3.pgn: CCC 17 Rapid: Semifinals (15|3)
20220314-20220322-ccc-17-rapid-challenger-15-3.pgn: CCC 17 Rapid: Challenger (15|3)
20220322-20220330-ccc-17-rapid-finals-15-3.pgn: CCC 17 Rapid: Finals (15|3)
20220404-20220412-ccc-17-bullet-qualification-2-1.pgn: CCC 17 Bullet: Qualification (2|1)
20220412-20220421-ccc-17-bullet-main-2-1.pgn: CCC 17 Bullet: Main (2|1)
20220421-20220430-ccc-17-bullet-semifinals-2-1.pgn: CCC 17 Bullet: Semifinals (2|1)
20220430-20220509-ccc-17-bullet-challenger-2-1.pgn: CCC 17 Bullet: Challenger (2|1)
20220509-20220518-ccc-17-bullet-finals-2-1.pgn: CCC 17 Bullet: Finals (2|1)
20220601-20220607-ccc-17-blitz-qualification-5-5.pgn: CCC 17 Blitz: Qualification (5|5)
20220608-20220616-ccc-17-blitz-main-5-5.pgn: CCC 17 Blitz: Main (5|5)
20220616-20220624-ccc-17-blitz-semifinals-5-5.pgn: CCC 17 Blitz: Semifinals (5|5)
20220628-20220705-ccc-17-blitz-challenger-5-5.pgn: CCC 17 Blitz: Challenger (5|5)
20220705-20220713-ccc-17-blitz-finals-5-5.pgn: CCC 17 Blitz: Finals (5|5)
20220717-20220724-ccc-18-rapid-qualification-15-3.pgn: CCC 18 Rapid: Qualification (15|3)
20220724-20220731-ccc-18-rapid-main-15-3.pgn: CCC 18 Rapid: Main (15|3)
20220731-20220808-ccc-18-rapid-semifinals-15-3.pgn: CCC 18 Rapid: Semifinals (15|3)
20220811-20220819-ccc-18-rapid-finals-15-3.pgn: CCC 18 Rapid: Finals (15|3)
20220822-20220831-ccc-18-rapid-challenger-15-3.pgn: CCC 18 Rapid: Challenger (15|3)
20220908-20220910-ccc-19-blitz-newcomers-5-5.pgn: CCC 19 Blitz: Newcomers (5|5)
20220910-20220913-ccc-19-blitz-qualifier-1-5-5.pgn: CCC 19 Blitz: Qualifier #1 (5|5)
20220913-20220918-ccc-19-blitz-qualifier-2-5-5.pgn: CCC 19 Blitz: Qualifier #2 (5|5)
20220918-20220926-ccc-19-blitz-main-5-5.pgn: CCC 19 Blitz: Main (5|5)
20220926-20221001-ccc-19-blitz-semifinals-5-5.pgn: CCC 19 Blitz: Semifinals (5|5)
20221001-20221006-ccc-19-blitz-challenger-match-5-5.pgn: CCC 19 Blitz: Challenger Match (5|5)
20221009-20221013-ccc-19-blitz-finals-5-5.pgn: CCC 19 Blitz: Finals (5|5)
20221013-20221015-ccc-19-blitz-revenge-for-leela-5-2.pgn: CCC 19 Blitz: Revenge for Leela (5|2)
20221020-20221025-ccc-19-rapid-newcomers-15-3.pgn: CCC 19 Rapid: Newcomers (15|3)
20221025-20221029-ccc-19-rapid-qualifier-1-15-3.pgn: CCC 19 Rapid: Qualifier #1 (15|3)
20221029-20221102-ccc-19-rapid-qualifier-2-15-3.pgn: CCC 19 Rapid: Qualifier #2 (15|3)
20221102-20221103-ccc-19-rapid-qualifier-2-tiebreaks-15-3.pgn: CCC 19 Rapid: Qualifier #2: Tiebreaks (15|3)
20221103-20221110-ccc-19-rapid-main-15-3.pgn: CCC 19 Rapid: Main (15|3)
20221110-20221117-ccc-19-rapid-semifinals-15-3.pgn: CCC 19 Rapid: Semifinals (15|3)
20221117-20221123-ccc-19-rapid-challenger-match-15-3.pgn: CCC 19 Rapid: Challenger Match (15|3)
20221127-20221202-ccc-19-rapid-finals-15-3.pgn: CCC 19 Rapid: Finals (15|3)
20221204-20221209-ccc-19-rapid-alt-finals-15-3.pgn: CCC 19 Rapid: Alt Finals (15|3)
20221215-20221219-ccc-19-bullet-newcomers-1-1.pgn: CCC 19 Bullet: Newcomers (1|1)
20221220-20221224-ccc-19-bullet-qualifier-1-1-1.pgn: CCC 19 Bullet: Qualifier #1 (1|1)
20221225-20221230-ccc-19-bullet-qualifier-2-1-1.pgn: CCC 19 Bullet: Qualifier #2 (1|1)
20221230-20230106-ccc-19-bullet-main-1-1.pgn: CCC 19 Bullet: Main (1|1)
20230107-20230112-ccc-19-bullet-semifinals-1-1.pgn: CCC 19 Bullet: Semifinals (1|1)
20230114-20230119-ccc-19-bullet-challenger-match-1-1.pgn: CCC 19 Bullet: Challenger Match (1|1)
20230119-20230123-ccc-19-bullet-finals-1-1.pgn: CCC 19 Bullet: Finals (1|1)
20230124-20230124-ccc-19-bullet-alt-finals-1-1.pgn: CCC 19 Bullet: Alt Finals (1|1)
20230207-20230211-ccc-20-blitz-newcomers-3-2.pgn: CCC 20 Blitz: Newcomers (3|2)
20230211-20230215-ccc-20-blitz-qualifier-1-3-2.pgn: CCC 20 Blitz: Qualifier #1 (3|2)
20230216-20230221-ccc-20-blitz-qualifier-2-3-2.pgn: CCC 20 Blitz: Qualifier #2 (3|2)
20230221-20230304-ccc-20-blitz-main-3-2.pgn: CCC 20 Blitz: Main (3|2)
20230305-20230313-ccc-20-blitz-semifinals-3-2.pgn: CCC 20 Blitz: Semifinals (3|2)
20230313-20230317-ccc-20-blitz-challenger-match-3-2.pgn: CCC 20 Blitz: Challenger Match (3|2)
20230317-20230319-ccc-20-blitz-fight-for-fourth-3-2.pgn: CCC 20 Blitz: Fight for Fourth (3|2)
20230319-20230323-ccc-20-blitz-finals-3-2.pgn: CCC 20 Blitz: Finals (3|2)
20230405-20230410-ccc-20-rapid-entry-league-10-3.pgn: CCC 20 Rapid: Entry League (10|3)
20230410-20230415-ccc-20-rapid-qualifier-1-10-3.pgn: CCC 20 Rapid: Qualifier #1 (10|3)
20230415-20230420-ccc-20-rapid-qualifier-2-10-3.pgn: CCC 20 Rapid: Qualifier #2 (10|3)
20230420-20230420-ccc-20-rapid-tiebreaker-1-10-3.pgn: CCC 20 Rapid: Tiebreaker #1 (10|3)
20230422-20230502-ccc-20-rapid-main-10-3.pgn: CCC 20 Rapid: Main (10|3)
20230503-20230512-ccc-20-rapid-semifinals-10-3.pgn: CCC 20 Rapid: Semifinals (10|3)
20230522-20230527-ccc-20-rapid-challenger-match-10-3.pgn: CCC 20 Rapid: Challenger Match (10|3)
20230527-20230601-ccc-20-rapid-finals-10-3.pgn: CCC 20 Rapid: Finals (10|3)
20230610-20230614-ccc-20-bullet-entry-league-1-1.pgn: CCC 20 Bullet: Entry League (1|1)
20230614-20230619-ccc-20-bullet-qualifier-1-1-1.pgn: CCC 20 Bullet: Qualifier #1 (1|1)
20230619-20230625-ccc-20-bullet-qualifier-2-1-1.pgn: CCC 20 Bullet: Qualifier #2 (1|1)
